id,title,provider,description,skills_covered,category,level,url,resource_type
1,The Complete JavaScript Course,Udemy,A comprehensive course covering JavaScript fundamentals to advanced async patterns.,JavaScript;HTML;CSS,Web Development,Beginner,https://www.udemy.com/course/the-complete-javascript-course/,Course
2,React - The Complete Guide,Udemy,Learn React from the ground up including hooks context and Redux.,React;JavaScript;Redux,Web Development,Intermediate,https://www.udemy.com/course/react-the-complete-guide-incl-redux/,Course
3,CS50's Web Programming with Python and JavaScript,Harvard/edX,Learn to design and implement web apps using Flask JavaScript and SQL.,Python;Flask;JavaScript;SQL,Web Development,Intermediate,https://cs50.harvard.edu/web/,Course
4,Node.js Developer Course,Udemy,Build real-world Node.js applications with Express and MongoDB.,Node.js;Express;MongoDB,Web Development,Intermediate,https://www.udemy.com/course/nodejs-express-mongodb-bootcamp/,Course
5,Python for Everybody,University of Michigan/Coursera,A gentle introduction to programming and data structures using Python.,Python,Data Science,Beginner,https://www.coursera.org/specializations/python,Course
6,Machine Learning Specialization,Andrew Ng/Coursera,A foundational course on supervised and unsupervised machine learning.,Machine Learning;Python;Scikit-learn,Artificial Intelligence,Intermediate,https://www.coursera.org/specializations/machine-learning-introduction,Course
7,Deep Learning Specialization,DeepLearning.AI/Coursera,Learn neural networks CNNs and sequence models from Andrew Ng.,Machine Learning;TensorFlow;Neural Networks,Artificial Intelligence,Advanced,https://www.coursera.org/specializations/deep-learning,Course
8,Natural Language Processing with Transformers,Hugging Face,A practical guide to building NLP applications using transformer models.,NLP;Transformers;PyTorch,Artificial Intelligence,Advanced,https://huggingface.co/learn/nlp-course,Course
9,Pandas Documentation and User Guide,pandas.pydata.org,The official guide to data manipulation and analysis with Pandas.,Pandas;Python,Data Science,Beginner,https://pandas.pydata.org/docs/user_guide/index.html,Article
10,Scikit-learn User Guide,scikit-learn.org,The official documentation covering all major scikit-learn algorithms.,Scikit-learn;Machine Learning;Python,Data Science,Intermediate,https://scikit-learn.org/stable/user_guide.html,Article
11,SQL for Data Analysis,Udacity,Learn to write SQL queries to analyze large real-world datasets.,SQL;Data Analysis,Data Science,Beginner,https://www.udacity.com/course/sql-for-data-analysis--ud198,Course
12,Kotlin for Android Developers,Google/Android Developers,Learn Kotlin fundamentals and Android app development basics.,Kotlin;Android SDK,Mobile Development,Beginner,https://developer.android.com/courses,Course
13,iOS App Development with Swift,Apple Developer,Official Apple tutorials for building iOS apps using Swift and Xcode.,Swift;iOS;Xcode,Mobile Development,Beginner,https://developer.apple.com/tutorials/app-dev-training,Course
14,React Native - The Practical Guide,Udemy,Build cross-platform mobile apps with React Native and JavaScript.,React Native;JavaScript,Mobile Development,Intermediate,https://www.udemy.com/course/react-native-the-practical-guide/,Course
15,AWS Certified Cloud Practitioner,AWS Training,An introduction to core AWS services and cloud computing concepts.,AWS;Cloud Computing,Cloud Computing,Beginner,https://aws.amazon.com/certification/certified-cloud-practitioner/,Course
16,Docker and Kubernetes: The Complete Guide,Udemy,Learn containerization with Docker and orchestration with Kubernetes.,Docker;Kubernetes;CI/CD,Cloud Computing,Intermediate,https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/,Course
17,Introduction to Cybersecurity,Cisco Networking Academy,Learn the fundamentals of network security and threat landscapes.,Networking;Security Fundamentals,Cybersecurity,Beginner,https://www.netacad.com/courses/cybersecurity/introduction-cybersecurity,Course
18,Practical Cryptography for Developers,Nakov,A hands-on guide to cryptographic algorithms and their real-world use.,Cryptography;Security Fundamentals,Cybersecurity,Intermediate,https://cryptobook.nakov.com/,Book
19,Google UX Design Certificate,Google/Coursera,Learn the end-to-end UX design process from research to prototyping.,UX Research;Figma;Wireframing;Prototyping,UI/UX Design,Beginner,https://www.coursera.org/professional-certificates/google-ux-design,Course
20,Figma for UI/UX Design Masterclass,Udemy,Master Figma to design wireframes prototypes and design systems.,Figma;UI Design;Prototyping,UI/UX Design,Beginner,https://www.udemy.com/course/figma-ux-ui-design-user-experience/,Course
21,Ethereum and Solidity: The Complete Developer's Guide,Udemy,Learn to build and deploy smart contracts on Ethereum using Solidity.,Solidity;Blockchain;Ethereum,Blockchain,Advanced,https://www.udemy.com/course/ethereum-and-solidity-the-complete-developers-guide/,Course
22,Unity Game Development Fundamentals,Unity Learn,Learn core Unity concepts including physics scripting and level design.,Unity;C#;Game Design,Game Development,Beginner,https://learn.unity.com/pathway/unity-essentials,Course
23,Complete Guide to Reinforcement Learning,Udacity,Learn the theory and implementation of reinforcement learning algorithms.,Reinforcement Learning;Python;PyTorch,Artificial Intelligence,Advanced,https://www.udacity.com/course/deep-reinforcement-learning-nanodegree--nd893,Course
24,Selenium WebDriver with Python,Udemy,Learn to automate browser testing using Selenium and Python.,Selenium;Test Automation;Python,Web Development,Beginner,https://www.udemy.com/course/selenium-webdriver-with-python3/,Course
25,Data Engineering with Apache Spark and Airflow,Udemy,Learn to build scalable ETL pipelines using Spark and orchestrate with Airflow.,Apache Spark;Airflow;Python;SQL,Data Science,Advanced,https://www.udemy.com/course/data-engineering-with-spark/,Course
